block,pretrained_audet,pretrained_apcer,finetuned_audet,finetuned_apcer,cka_pretrained_vs_finetuned
0,0.49883573801829684,0.9858267716535433,0.4996986937326475,0.9874015748031496,0.9725350737571716
1,0.49429338673706247,0.988976377952756,0.4917008784306587,0.9905511811023622,0.9882015585899353
2,0.4958026489463383,0.9874015748031496,0.49141322652587505,0.9905511811023622,0.9905976057052612
3,0.5048072459150699,0.9858267716535433,0.5010532064994766,0.9826771653543307,0.9904159307479858
4,0.5059396477174458,0.9952755905511811,0.5078476173137317,0.9968503937007874,0.9888982176780701
5,0.4918264985662919,0.9937007874015747,0.4732947976878613,0.9905511811023622,0.9494268894195557
6,0.481378180328615,0.9968503937007874,0.4825124027126666,0.9921259842519685,0.919806718826294
7,0.4941113285694779,0.9968503937007874,0.4954840471530655,0.9905511811023622,0.9423547983169556
8,0.48574211460561645,0.9826771653543307,0.4817459378271357,0.984251968503937,0.2508849799633026
9,0.47270674980656324,0.984251968503937,0.46994310682262985,0.9921259842519685,0.07584322243928909
10,0.46594875062582497,0.9858267716535433,0.47481316280551644,0.988976377952756,0.03092028573155403
11,0.4791461471940285,0.9921259842519685,0.48677438441582077,0.9937007874015747,0.014280281029641628
